"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2016년 07월 15일","34,150","33,350","34,150","33,350","1.05M","2.40%"
"2016년 07월 14일","33,350","33,600","33,600","32,950","533.80K","-0.15%"
"2016년 07월 13일","33,400","32,850","33,450","32,850","754.89K","1.21%"
"2016년 07월 12일","33,000","32,200","33,000","32,050","736.38K","2.64%"
"2016년 07월 11일","32,150","32,250","32,350","31,850","637.90K","1.10%"
"2016년 07월 08일","31,800","31,900","32,100","31,500","506.20K","-1.24%"
"2016년 07월 07일","32,200","32,100","32,350","31,800","351.46K","1.10%"
"2016년 07월 06일","31,850","32,300","32,650","31,700","978.40K","-2.30%"
"2016년 07월 05일","32,600","32,450","32,800","32,350","434.17K","0.00%"
"2016년 07월 04일","32,600","32,800","32,950","32,500","412.66K","-0.76%"
"2016년 07월 03일","32,850","32,850","32,850","32,850","-","0.00%"
"2016년 07월 01일","32,850","32,700","33,000","32,600","410.42K","0.77%"
"2016년 06월 30일","32,600","33,350","33,350","32,400","792.34K","-0.31%"
"2016년 06월 29일","32,700","32,650","32,850","32,150","574.56K","1.24%"
"2016년 06월 28일","32,300","31,600","32,300","31,150","1.18M","-0.15%"
"2016년 06월 27일","32,350","32,000","33,100","32,000","1.59M","-2.41%"
"2016년 06월 26일","33,150","33,150","33,150","33,150","-","0.00%"
"2016년 06월 24일","33,150","34,950","35,000","32,650","1.60M","-3.77%"
"2016년 06월 23일","34,450","33,800","34,650","33,800","522.45K","1.03%"
"2016년 06월 22일","34,100","33,750","34,500","33,600","595.24K","1.49%"
"2016년 06월 21일","33,600","33,850","34,150","33,500","461.17K","-2.04%"
"2016년 06월 20일","34,300","34,000","34,500","33,700","535.24K","3.16%"
"2016년 06월 17일","33,250","33,400","33,800","33,150","622.76K","0.00%"
"2016년 06월 16일","33,250","33,250","33,550","33,000","476.53K","0.45%"
"2016년 06월 15일","33,100","33,900","34,050","33,100","823.93K","-3.07%"
"2016년 06월 14일","34,150","33,900","34,600","33,850","609.73K","-0.15%"
"2016년 06월 13일","34,200","34,550","34,900","33,900","736.15K","-2.29%"
"2016년 06월 12일","35,000","35,000","35,000","35,000","-","0.00%"
"2016년 06월 10일","35,000","35,250","35,600","34,950","944.75K","-1.41%"
"2016년 06월 09일","35,500","34,450","35,900","34,400","1.61M","2.45%"
"2016년 06월 08일","34,650","33,550","34,650","33,550","968.18K","2.67%"
"2016년 06월 07일","33,750","33,850","34,150","33,650","843.83K","-0.15%"
"2016년 06월 03일","33,800","33,650","34,050","33,650","585.09K","-0.29%"
"2016년 06월 02일","33,900","33,850","34,350","33,450","669.04K","0.30%"
"2016년 06월 01일","33,800","33,950","34,350","33,550","818.72K","-0.88%"
"2016년 05월 31일","34,100","33,050","34,350","33,000","1.63M","2.25%"
"2016년 05월 30일","33,350","33,400","33,650","32,700","808.08K","-0.89%"
"2016년 05월 29일","33,650","33,650","33,650","33,650","0.52K","0.00%"
"2016년 05월 27일","33,650","34,000","34,400","33,650","765.56K","-0.74%"
"2016년 05월 26일","33,900","34,550","34,550","33,750","423.39K","-0.73%"
"2016년 05월 25일","34,150","33,750","34,300","33,650","739.03K","3.33%"
"2016년 05월 24일","33,050","33,150","33,300","33,000","477.84K","-0.45%"
"2016년 05월 23일","33,200","33,600","33,600","33,000","438.65K","-1.19%"
"2016년 05월 20일","33,600","33,850","33,900","33,250","610.97K","-0.59%"
"2016년 05월 19일","33,800","33,050","34,350","33,050","976.62K","2.74%"
"2016년 05월 18일","32,900","32,750","33,100","32,500","846.52K","-1.50%"
"2016년 05월 17일","33,400","33,250","33,650","33,200","577.09K","0.91%"
"2016년 05월 16일","33,100","33,050","33,550","32,900","863.95K","-0.45%"
"2016년 05월 13일","33,250","33,150","33,700","33,150","651.89K","-0.30%"
"2016년 05월 12일","33,350","33,700","33,900","33,200","594.62K","-1.04%"
"2016년 05월 11일","33,700","33,750","34,000","33,400","587.73K","0.15%"
"2016년 05월 10일","33,650","33,250","33,700","33,250","507.54K","0.60%"
"2016년 05월 09일","33,450","33,550","33,600","32,800","904.92K","-0.15%"
"2016년 05월 08일","33,500","33,500","33,500","33,500","-","0.00%"
"2016년 05월 04일","33,500","33,650","33,900","33,150","987.76K","-1.33%"
"2016년 05월 03일","33,950","34,100","34,550","33,750","962.08K","-0.44%"
"2016년 05월 02일","34,100","34,400","34,750","34,000","899.70K","-2.01%"
"2016년 05월 01일","34,800","34,800","34,800","34,800","0.02K","0.00%"
"2016년 04월 29일","34,800","35,250","35,250","34,350","1.01M","-1.28%"
"2016년 04월 28일","35,250","36,050","36,050","34,950","1.06M","-1.12%"
"2016년 04월 27일","35,650","35,300","36,250","35,200","1.08M","-0.14%"
"2016년 04월 26일","35,700","35,900","36,200","35,500","1.08M","-2.19%"
"2016년 04월 25일","36,500","35,900","36,600","35,550","1.11M","1.67%"
"2016년 04월 24일","35,900","35,900","35,900","35,900","0.11K","0.00%"
"2016년 04월 22일","35,900","35,550","36,150","35,350","1.65M","1.41%"
"2016년 04월 21일","35,400","35,000","35,450","34,850","943.98K","1.72%"
"2016년 04월 20일","34,800","34,850","35,100","34,650","736.38K","0.87%"
"2016년 04월 19일","34,500","34,250","35,150","34,250","939.40K","0.73%"
"2016년 04월 18일","34,250","33,600","34,500","33,600","1.11M","0.15%"
"2016년 04월 17일","34,200","34,200","34,200","34,200","0.25K","0.00%"
"2016년 04월 15일","34,200","33,850","34,300","33,600","1.56M","1.63%"
"2016년 04월 14일","33,650","32,650","33,650","32,650","2.24M","4.67%"
"2016년 04월 12일","32,150","32,000","32,450","31,800","673.30K","-0.16%"
"2016년 04월 11일","32,200","32,500","32,750","31,800","674.37K","-1.68%"
"2016년 04월 10일","32,750","32,750","32,750","32,750","-","0.00%"
"2016년 04월 08일","32,750","32,650","32,900","32,000","721.16K","-0.61%"
"2016년 04월 07일","32,950","32,900","33,100","32,800","851.96K","0.46%"
"2016년 04월 06일","32,800","32,400","33,050","32,400","923.35K","0.77%"
"2016년 04월 05일","32,550","31,800","33,050","31,800","1.02M","1.24%"
"2016년 04월 04일","32,150","32,000","32,400","31,700","871.98K","0.00%"
"2016년 04월 03일","32,150","32,150","32,150","32,150","-","0.00%"
"2016년 04월 01일","32,150","32,450","32,650","31,700","1.88M","0.94%"
"2016년 03월 31일","31,850","31,900","32,300","31,600","1.25M","0.00%"
"2016년 03월 30일","31,850","32,200","32,250","31,550","804.31K","-1.55%"
"2016년 03월 29일","32,350","32,100","32,600","32,100","722.71K","1.09%"
"2016년 03월 28일","32,000","31,450","32,100","31,450","451.15K","0.79%"
"2016년 03월 27일","31,750","31,750","31,750","31,750","0.07K","0.00%"
"2016년 03월 25일","31,750","31,850","32,000","31,350","589.29K","-1.09%"
"2016년 03월 24일","32,100","32,500","32,550","31,800","885.28K","-1.83%"
"2016년 03월 23일","32,700","32,750","32,950","32,650","667.33K","-0.30%"
"2016년 03월 22일","32,800","32,650","32,850","32,500","762.16K","0.31%"
"2016년 03월 21일","32,700","32,750","33,050","32,550","713.07K","-0.30%"
"2016년 03월 20일","32,800","32,800","32,800","32,800","0.05K","0.00%"
"2016년 03월 18일","32,800","32,600","32,950","32,350","961.79K","1.23%"
"2016년 03월 17일","32,400","32,500","33,000","32,250","885.39K","-0.77%"
"2016년 03월 16일","32,650","32,250","32,750","32,150","716.73K","1.08%"
"2016년 03월 15일","32,300","32,500","32,700","32,000","820.03K","-1.37%"
"2016년 03월 14일","32,750","32,950","33,200","32,700","1.14M","1.39%"
"2016년 03월 13일","32,300","32,300","32,300","32,300","-","0.00%"
"2016년 03월 11일","32,300","32,500","32,500","32,050","788.39K","1.10%"
"2016년 03월 10일","31,950","31,900","32,200","31,550","1.12M","0.16%"
"2016년 03월 09일","31,900","31,750","32,200","31,500","599.40K","0.47%"
"2016년 03월 08일","31,750","32,200","32,350","31,250","954.85K","-1.24%"
"2016년 03월 07일","32,150","32,150","32,900","32,050","1.83M","1.10%"
"2016년 03월 06일","31,800","31,800","31,800","31,800","0.00K","0.00%"
"2016년 03월 04일","31,800","30,850","31,900","30,650","1.42M","3.25%"
"2016년 03월 03일","30,800","30,400","30,900","30,150","1.54M","1.99%"
"2016년 03월 02일","30,200","30,200","30,350","29,950","1.28M","1.68%"
"2016년 02월 29일","29,700","30,050","30,450","29,700","1.44M","-1.00%"
"2016년 02월 28일","30,000","30,000","30,000","30,000","-","0.00%"
"2016년 02월 26일","30,000","30,050","30,450","29,950","1.01M","0.50%"
"2016년 02월 25일","29,850","30,300","30,450","29,400","1.11M","-1.32%"
"2016년 02월 24일","30,250","30,000","30,450","29,950","465.21K","0.50%"
"2016년 02월 23일","30,100","30,400","30,700","30,100","777.41K","0.00%"
"2016년 02월 22일","30,100","30,100","30,450","29,850","897.48K","-0.66%"
"2016년 02월 21일","30,300","30,300","30,300","30,300","0.11K","0.00%"
"2016년 02월 19일","30,300","30,500","30,750","29,750","1.27M","-1.14%"
"2016년 02월 18일","30,650","31,200","31,600","30,500","1.53M","-2.08%"
"2016년 02월 17일","31,300","29,500","31,400","29,500","2.43M","6.10%"
"2016년 02월 16일","29,500","29,800","30,000","28,900","1.37M","-0.51%"
"2016년 02월 15일","29,650","29,050","29,950","28,900","1.84M","4.40%"
"2016년 02월 14일","28,400","28,400","28,400","28,400","-","0.00%"
"2016년 02월 12일","28,400","28,300","28,650","27,600","2.62M","-1.05%"
"2016년 02월 11일","28,700","28,200","29,050","28,100","3.35M","-2.21%"
"2016년 02월 10일","29,350","29,350","29,350","29,350","-","0.00%"
"2016년 02월 05일","29,350","28,750","29,950","28,300","3.29M","2.26%"
"2016년 02월 04일","28,700","28,400","29,050","28,400","1.46M","0.88%"
"2016년 02월 03일","28,450","28,900","28,900","28,250","1.55M","-3.07%"
"2016년 02월 02일","29,350","30,100","30,100","29,350","834.00K","-1.84%"
"2016년 02월 01일","29,900","30,150","30,850","29,700","1.40M","-2.13%"
"2016년 01월 31일","30,550","30,550","30,550","30,550","0.20K","0.00%"
"2016년 01월 29일","30,550","30,000","30,550","29,850","908.79K","0.83%"
"2016년 01월 28일","30,300","29,450","30,450","29,300","929.97K","1.85%"
"2016년 01월 27일","29,750","29,300","29,750","29,150","828.89K","2.59%"
"2016년 01월 26일","29,000","29,000","29,150","28,600","902.54K","-2.19%"
"2016년 01월 25일","29,650","29,700","30,200","29,500","725.23K","1.89%"
"2016년 01월 22일","29,100","28,700","29,600","28,700","948.21K","2.46%"
"2016년 01월 21일","28,400","28,400","29,050","28,350","1.06M","0.35%"
"2016년 01월 20일","28,300","29,250","29,400","28,200","1.36M","-3.58%"
"2016년 01월 19일","29,350","30,100","30,150","29,100","1.42M","-2.65%"
"2016년 01월 18일","30,150","29,750","30,400","29,650","783.98K","0.50%"
"2016년 01월 17일","30,000","30,000","30,000","30,000","1.70K","0.00%"
"2016년 01월 15일","30,000","31,050","31,350","29,900","1.31M","-3.23%"
"2016년 01월 14일","31,000","31,800","31,800","30,800","1.30M","-4.02%"
"2016년 01월 13일","32,300","31,750","32,450","31,700","439.05K","2.05%"
"2016년 01월 12일","31,650","31,850","32,000","31,650","386.92K","0.16%"
"2016년 01월 11일","31,600","31,700","31,900","31,550","492.90K","-1.56%"
"2016년 01월 08일","32,100","31,800","32,250","31,550","671.72K","0.16%"
"2016년 01월 07일","32,050","32,350","32,650","31,900","636.09K","-1.23%"
"2016년 01월 06일","32,450","32,650","33,050","32,300","883.99K","-0.61%"
"2016년 01월 05일","32,650","32,500","33,100","32,500","561.08K","0.62%"
"2016년 01월 04일","32,450","32,900","33,000","32,150","1.05M","-2.11%"
"2016년 01월 03일","33,150","33,150","33,150","33,150","-","0.00%"
"2015년 12월 30일","33,150","33,500","33,650","33,050","581.36K","-0.60%"
"2015년 12월 29일","33,350","33,350","33,550","33,300","644.49K","-1.62%"
"2015년 12월 28일","33,900","34,150","34,350","33,900","841.36K","-0.44%"
"2015년 12월 24일","34,050","34,350","34,450","34,050","708.13K","-0.44%"
"2015년 12월 23일","34,200","33,950","34,250","33,850","1.16M","0.74%"
"2015년 12월 22일","33,950","34,050","34,150","33,700","889.06K","-0.29%"
"2015년 12월 21일","34,050","33,950","34,450","33,900","703.28K","0.59%"
"2015년 12월 20일","33,850","33,850","33,850","33,850","0.27K","0.00%"
"2015년 12월 18일","33,850","33,800","34,200","33,800","831.41K","-0.88%"
"2015년 12월 17일","34,150","34,650","34,800","33,900","1.18M","-1.01%"
"2015년 12월 16일","34,500","34,300","34,650","34,000","1.01M","1.77%"
"2015년 12월 15일","33,900","34,150","34,350","33,650","905.74K","-0.88%"
"2015년 12월 14일","34,200","34,300","34,500","33,900","951.97K","-1.01%"
"2015년 12월 11일","34,550","34,400","34,650","34,300","454.11K","-0.43%"
"2015년 12월 10일","34,700","34,200","34,800","33,950","1.07M","1.17%"
"2015년 12월 09일","34,300","34,450","34,650","34,250","602.49K","-0.29%"
"2015년 12월 08일","34,400","34,500","34,750","34,300","506.56K","-0.15%"
"2015년 12월 07일","34,450","34,850","34,900","34,450","474.17K","-0.72%"
"2015년 12월 04일","34,700","34,750","34,900","34,500","389.47K","-0.43%"
"2015년 12월 03일","34,850","35,300","35,300","34,700","405.54K","-0.71%"
"2015년 12월 02일","35,100","35,400","35,550","35,050","472.08K","-1.40%"
"2015년 12월 01일","35,600","35,200","35,650","35,050","489.54K","0.99%"
"2015년 11월 30일","35,250","36,000","36,000","35,100","1.57M","-1.67%"
"2015년 11월 29일","35,850","35,850","35,850","35,850","0.38K","0.00%"
"2015년 11월 27일","35,850","35,850","35,950","35,600","552.28K","0.28%"
"2015년 11월 26일","35,750","35,400","35,750","35,250","468.85K","1.42%"
"2015년 11월 25일","35,250","35,350","35,500","35,100","508.26K","-0.98%"
"2015년 11월 24일","35,600","35,300","35,700","35,150","615.56K","0.71%"
"2015년 11월 23일","35,350","35,500","35,600","35,150","387.37K","0.28%"
"2015년 11월 20일","35,250","34,950","35,500","34,950","571.00K","-1.26%"
"2015년 11월 19일","35,700","35,500","36,000","35,450","673.70K","0.99%"
"2015년 11월 18일","35,350","34,700","35,350","34,450","953.23K","2.02%"
"2015년 11월 17일","34,650","35,000","35,100","34,650","411.89K","0.14%"
"2015년 11월 16일","34,600","34,250","34,900","34,250","627.07K","-1.70%"
"2015년 11월 15일","35,200","35,200","35,200","35,200","0.00K","0.00%"
"2015년 11월 13일","35,200","35,700","36,150","35,200","798.07K","-3.16%"
"2015년 11월 12일","36,350","36,050","36,500","35,650","470.36K","1.25%"
"2015년 11월 11일","35,900","35,900","36,150","35,800","430.48K","-0.42%"
"2015년 11월 10일","36,050","36,750","36,750","36,000","723.88K","-2.44%"
"2015년 11월 09일","36,950","36,750","37,100","36,300","699.27K","1.51%"
"2015년 11월 08일","36,400","36,400","36,400","36,400","0.22K","0.00%"
"2015년 11월 06일","36,400","36,900","37,250","36,300","498.44K","-0.95%"
"2015년 11월 05일","36,750","36,350","36,750","36,000","545.47K","0.55%"
"2015년 11월 04일","36,550","36,750","36,900","36,300","431.60K","-0.41%"
"2015년 11월 03일","36,700","36,050","36,800","35,750","666.65K","1.94%"
"2015년 11월 02일","36,000","36,000","36,300","35,500","770.96K","-0.41%"
"2015년 11월 01일","36,150","36,150","36,150","36,150","-","0.00%"
"2015년 10월 30일","36,150","35,800","36,400","35,700","1.13M","1.40%"
"2015년 10월 29일","35,650","35,900","36,300","35,550","770.61K","-1.38%"
"2015년 10월 28일","36,150","36,750","36,750","35,850","640.94K","-1.63%"
"2015년 10월 27일","36,750","36,800","36,800","36,300","451.28K","-0.14%"
"2015년 10월 26일","36,800","37,050","37,250","36,500","519.64K","-0.14%"
"2015년 10월 25일","36,850","36,850","36,850","36,850","0.06K","0.00%"
"2015년 10월 23일","36,850","36,900","36,900","36,200","697.27K","0.27%"
"2015년 10월 22일","36,750","36,350","37,000","36,300","767.70K","0.14%"
"2015년 10월 21일","36,700","36,200","36,950","36,150","933.33K","0.96%"
"2015년 10월 20일","36,350","35,450","36,400","35,350","1.20M","2.54%"
"2015년 10월 19일","35,450","35,300","35,450","35,100","695.43K","0.85%"
"2015년 10월 16일","35,150","35,350","35,600","35,100","819.62K","0.43%"
"2015년 10월 15일","35,000","34,550","35,250","34,550","839.94K","0.57%"
"2015년 10월 14일","34,800","35,400","35,400","34,800","637.64K","-1.97%"
"2015년 10월 13일","35,500","35,400","35,500","35,050","720.82K","0.57%"
"2015년 10월 12일","35,300","34,750","35,450","34,700","1.49M","1.44%"
"2015년 10월 11일","34,800","34,800","34,800","34,800","1.59K","0.00%"
"2015년 10월 08일","34,800","34,350","34,800","34,050","1.24M","1.61%"
"2015년 10월 07일","34,250","34,550","34,850","34,050","1.27M","-1.15%"
"2015년 10월 06일","34,650","34,750","35,100","34,550","496.53K","0.00%"
"2015년 10월 05일","34,650","34,750","34,900","34,450","572.24K","0.00%"
"2015년 10월 04일","34,650","34,650","34,650","34,650","-","0.00%"
"2015년 10월 02일","34,650","35,400","35,400","34,650","740.18K","-1.84%"
"2015년 10월 01일","35,300","35,050","35,300","34,600","690.85K","0.14%"
"2015년 09월 30일","35,250","34,200","35,250","33,900","1.10M","1.73%"
"2015년 09월 29일","34,650","34,650","34,650","34,650","0.09K","0.00%"
"2015년 09월 25일","34,650","34,850","34,950","34,600","599.47K","-0.72%"
"2015년 09월 24일","34,900","34,700","35,000","34,650","582.15K","0.43%"
"2015년 09월 23일","34,750","34,950","35,200","34,650","855.63K","-1.70%"
"2015년 09월 22일","35,350","35,350","35,400","34,900","978.14K","1.00%"
"2015년 09월 21일","35,000","34,650","35,050","34,350","758.39K","0.57%"
"2015년 09월 20일","34,800","34,800","34,800","34,800","0.22K","0.00%"
"2015년 09월 18일","34,800","35,150","35,250","34,450","1.40M","-1.97%"
"2015년 09월 17일","35,500","35,800","35,800","35,350","899.51K","0.28%"
"2015년 09월 16일","35,400","34,900","35,600","34,900","1.18M","1.58%"
"2015년 09월 15일","34,850","35,050","35,050","34,700","818.98K","-0.29%"
"2015년 09월 14일","34,950","35,000","35,150","34,600","543.62K","0.14%"
"2015년 09월 11일","34,900","35,150","35,300","34,900","679.81K","-2.10%"
"2015년 09월 10일","35,650","34,600","35,650","34,500","906.06K","2.00%"
"2015년 09월 09일","34,950","34,450","34,950","34,400","985.41K","2.34%"
"2015년 09월 08일","34,150","34,050","34,350","33,950","397.97K","-0.15%"
"2015년 09월 07일","34,200","34,350","34,650","34,000","802.05K","-1.30%"
"2015년 09월 06일","34,650","34,650","34,650","34,650","-","0.00%"
"2015년 09월 04일","34,650","34,600","34,700","34,350","615.28K","-0.29%"
"2015년 09월 03일","34,750","35,600","35,750","34,650","1.05M","-2.11%"
"2015년 09월 02일","35,500","34,700","35,650","34,650","605.69K","0.57%"
"2015년 09월 01일","35,300","35,300","35,650","35,050","713.40K","-1.40%"
"2015년 08월 31일","35,800","35,800","35,950","35,250","1.49M","-0.69%"
"2015년 08월 30일","36,050","36,050","36,050","36,050","0.22K","0.00%"
"2015년 08월 28일","36,050","35,200","36,200","35,050","1.82M","3.89%"
"2015년 08월 27일","34,700","34,800","35,050","34,300","1.61M","0.00%"
"2015년 08월 26일","34,700","34,300","34,950","33,200","1.70M","-0.43%"
"2015년 08월 25일","34,850","34,500","35,250","34,250","1.15M","-0.14%"
"2015년 08월 24일","34,900","36,450","36,500","34,250","1.40M","-3.59%"
"2015년 08월 23일","36,200","36,200","36,200","36,200","0.01K","0.00%"
"2015년 08월 21일","36,200","36,900","36,900","35,600","1.06M","-1.09%"
"2015년 08월 20일","36,600","36,800","37,100","36,050","715.27K","-1.61%"
"2015년 08월 19일","37,200","37,400","37,900","37,200","1.26M","0.27%"
"2015년 08월 18일","37,100","36,350","37,550","36,300","722.67K","1.92%"
"2015년 08월 17일","36,400","35,800","36,900","35,700","761.18K","0.00%"
"2015년 08월 16일","36,400","36,400","36,400","36,400","-","0.00%"
"2015년 08월 13일","36,400","37,700","37,700","36,400","1.14M","-3.45%"
"2015년 08월 12일","37,700","37,950","37,950","37,150","873.98K","-0.40%"
"2015년 08월 11일","37,850","38,050","38,200","37,600","1.06M","0.13%"
"2015년 08월 10일","37,800","37,250","38,100","36,850","1.32M","1.75%"
"2015년 08월 07일","37,150","37,400","37,400","36,600","453.95K","0.68%"
"2015년 08월 06일","36,900","37,350","37,900","36,850","698.10K","-0.54%"
"2015년 08월 05일","37,100","37,500","38,000","36,950","674.65K","-1.85%"
"2015년 08월 04일","37,800","37,500","37,900","37,300","1.46M","2.16%"
"2015년 08월 03일","37,000","36,950","37,400","36,450","940.17K","0.54%"
"2015년 08월 02일","36,800","36,800","36,800","36,800","0.21K","0.00%"
"2015년 07월 31일","36,800","37,050","37,100","36,100","1.17M","0.41%"
"2015년 07월 30일","36,650","35,800","36,900","35,750","1.31M","2.66%"
"2015년 07월 29일","35,700","35,400","36,000","35,400","677.74K","-0.14%"
"2015년 07월 28일","35,750","35,500","36,150","35,300","1.73M","0.42%"
"2015년 07월 27일","35,600","34,250","35,650","33,950","1.28M","3.94%"
"2015년 07월 26일","34,250","34,250","34,250","34,250","0.07K","0.00%"
"2015년 07월 24일","34,250","34,950","35,100","34,050","866.96K","-2.28%"
"2015년 07월 23일","35,050","35,000","35,150","34,700","443.81K","0.72%"
"2015년 07월 22일","34,800","35,000","35,200","34,700","587.65K","-0.43%"
"2015년 07월 21일","34,950","34,700","35,300","34,700","732.73K","0.87%"
"2015년 07월 20일","34,650","34,700","35,100","34,500","672.15K","-0.14%"
"2015년 07월 19일","34,700","34,700","34,700","34,700","0.05K","0.00%"
"2015년 07월 17일","34,700","35,850","35,900","34,400","1.35M","-1.98%"
"2015년 07월 16일","35,400","35,250","35,700","35,050","1.03M","0.71%"
"2015년 07월 15일","35,150","36,550","37,100","34,850","2.77M","-3.83%"
"2015년 07월 14일","36,550","36,500","37,050","36,400","874.56K","0.83%"
"2015년 07월 13일","36,250","35,500","36,500","35,350","830.10K","1.83%"
"2015년 07월 10일","35,600","35,700","35,750","35,200","568.90K","0.42%"
"2015년 07월 09일","35,450","35,350","35,700","34,900","796.48K","0.14%"
"2015년 07월 08일","35,400","36,250","36,250","35,400","497.50K","-1.53%"
"2015년 07월 07일","35,950","35,550","35,950","35,450","705.31K","1.27%"
"2015년 07월 06일","35,500","35,300","35,600","35,200","982.93K","-1.93%"
"2015년 07월 05일","36,200","36,200","36,200","36,200","0.02K","0.00%"
"2015년 07월 03일","36,200","36,100","36,700","35,850","1.26M","0.00%"
"2015년 07월 02일","36,200","36,700","37,000","36,100","1.18M","-1.63%"
"2015년 07월 01일","36,800","36,700","37,200","36,600","608.70K","-0.27%"
"2015년 06월 30일","36,900","36,700","37,050","36,550","741.21K","0.00%"
"2015년 06월 29일","36,900","36,900","37,000","36,550","857.69K","-2.12%"
"2015년 06월 28일","37,700","37,700","37,700","37,700","0.01K","0.00%"
"2015년 06월 26일","37,700","37,850","38,200","37,450","560.88K","1.07%"
"2015년 06월 25일","37,300","37,850","37,850","37,300","923.52K","-1.45%"
"2015년 06월 24일","37,850","37,900","38,050","37,600","719.31K","0.80%"
"2015년 06월 23일","37,550","37,000","38,200","36,900","891.97K","2.88%"
"2015년 06월 22일","36,500","36,150","36,750","36,100","732.78K","0.97%"
"2015년 06월 21일","36,150","36,150","36,150","36,150","0.01K","0.00%"
"2015년 06월 19일","36,150","37,200","37,250","36,100","1.45M","-2.43%"
"2015년 06월 18일","37,050","37,200","37,500","36,950","633.19K","-0.40%"
"2015년 06월 17일","37,200","37,300","37,500","37,000","965.06K","-0.27%"
"2015년 06월 16일","37,300","38,000","38,400","37,300","1.24M","-2.23%"
"2015년 06월 15일","38,150","38,400","38,650","38,150","736.38K","-2.30%"
"2015년 06월 14일","39,050","39,050","39,050","39,050","0.10K","0.00%"
"2015년 06월 12일","39,050","40,000","40,000","38,850","864.15K","-2.38%"
"2015년 06월 11일","40,000","39,550","40,550","39,500","1.19M","0.13%"
"2015년 06월 10일","39,950","39,000","40,000","38,800","934.64K","2.83%"
"2015년 06월 09일","38,850","38,800","38,950","38,400","578.09K","-0.77%"
"2015년 06월 08일","39,150","38,350","39,150","38,100","529.19K","2.09%"
"2015년 06월 05일","38,350","38,550","39,100","38,050","804.59K","-1.03%"
"2015년 06월 04일","38,750","39,350","39,750","38,700","969.00K","-2.52%"
"2015년 06월 03일","39,750","40,200","40,200","39,550","873.60K","-0.25%"
"2015년 06월 02일","39,850","39,200","40,100","39,200","642.54K","1.01%"
"2015년 06월 01일","39,450","40,150","40,200","39,250","746.60K","-1.99%"
"2015년 05월 29일","40,250","38,850","40,250","38,700","1.20M","1.77%"
"2015년 05월 28일","39,550","39,200","39,950","39,050","817.98K","0.89%"
"2015년 05월 27일","39,200","39,500","40,000","39,050","1.21M","-2.24%"
"2015년 05월 26일","40,100","40,700","40,900","39,850","570.60K","-2.20%"
"2015년 05월 25일","41,000","41,000","41,000","41,000","0.02K","0.00%"
"2015년 05월 22일","41,000","39,900","41,000","39,750","904.75K","3.14%"
"2015년 05월 21일","39,750","40,750","40,800","39,700","906.20K","-3.05%"
"2015년 05월 20일","41,000","41,200","41,200","40,550","462.90K","0.37%"
"2015년 05월 19일","40,850","40,400","41,200","40,150","774.86K","0.99%"
"2015년 05월 18일","40,450","40,700","40,900","40,000","445.90K","-0.86%"
"2015년 05월 15일","40,800","41,700","42,100","40,700","489.42K","-0.73%"
"2015년 05월 14일","41,100","41,000","41,500","40,950","589.51K","-0.96%"
"2015년 05월 13일","41,500","40,900","41,800","40,900","1.23M","0.85%"
"2015년 05월 12일","41,150","40,650","41,450","40,600","911.52K","1.35%"
"2015년 05월 11일","40,600","40,900","41,200","40,550","647.46K","-0.49%"
"2015년 05월 08일","40,800","41,050","41,350","40,500","874.83K","-1.45%"
"2015년 05월 07일","41,400","42,000","42,100","40,600","1.09M","-1.19%"
"2015년 05월 06일","41,900","41,950","42,150","41,250","1.54M","0.48%"
"2015년 05월 05일","41,700","41,700","41,700","41,700","0.08K","0.00%"
"2015년 05월 04일","41,700","40,950","42,050","40,800","1.29M","1.83%"
"2015년 04월 30일","40,950","41,000","41,250","40,700","864.18K","-0.12%"
"2015년 04월 29일","41,000","41,000","41,450","40,600","938.72K","1.11%"
"2015년 04월 28일","40,550","40,700","40,950","40,250","740.70K","0.62%"
"2015년 04월 27일","40,300","41,750","42,100","40,300","1.22M","-3.24%"
"2015년 04월 26일","41,650","41,650","41,650","41,650","-","0.00%"
"2015년 04월 24일","41,650","41,050","42,800","40,850","2.11M","1.59%"
"2015년 04월 23일","41,000","40,300","41,200","39,950","1.53M","3.02%"
"2015년 04월 22일","39,800","40,100","40,500","39,650","868.60K","-1.97%"
"2015년 04월 21일","40,600","41,200","41,200","40,100","815.76K","-0.49%"
"2015년 04월 20일","40,800","40,200","41,100","40,000","943.32K","0.49%"
"2015년 04월 17일","40,600","40,300","40,750","40,150","1.02M","0.74%"
"2015년 04월 16일","40,300","39,650","40,700","39,200","932.82K","0.75%"
"2015년 04월 15일","40,000","40,750","40,850","39,200","1.19M","-1.23%"
"2015년 04월 14일","40,500","38,400","41,000","38,350","2.49M","5.74%"
"2015년 04월 13일","38,300","37,900","38,300","37,750","1.32M","1.46%"
"2015년 04월 12일","37,750","37,750","37,750","37,750","0.00K","0.00%"
"2015년 04월 10일","37,750","36,900","37,900","36,850","1.02M","2.58%"
"2015년 04월 09일","36,800","37,950","38,050","36,700","1.48M","-2.52%"
"2015년 04월 08일","37,750","37,550","37,950","37,500","823.73K","-0.26%"
"2015년 04월 07일","37,850","38,400","38,650","37,750","723.98K","-1.43%"
"2015년 04월 06일","38,400","39,000","39,150","38,350","467.41K","-1.54%"
"2015년 04월 05일","39,000","39,000","39,000","39,000","0.07K","0.00%"
