"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2020년 11월 09일","42,950","42,900","43,600","42,800","0.14K","0.70%"
"2020년 11월 08일","42,650","42,650","42,650","42,650","-","0.00%"
"2020년 11월 06일","42,650","42,900","43,150","42,500","1.40M","-0.58%"
"2020년 11월 05일","42,900","41,650","43,000","41,600","2.08M","3.25%"
"2020년 11월 04일","41,550","43,200","43,450","40,950","0.20K","-2.58%"
"2020년 11월 03일","42,650","42,750","42,900","42,050","1.53M","1.55%"
"2020년 11월 02일","42,000","40,300","42,150","40,300","0.00K","4.74%"
"2020년 11월 01일","40,100","40,100","40,100","40,100","-","0.00%"
"2020년 10월 30일","40,100","40,750","41,450","39,850","1.93M","-2.20%"
"2020년 10월 29일","41,000","41,250","41,400","40,550","0.75K","-2.50%"
"2020년 10월 28일","42,050","41,050","42,250","41,000","0.00K","0.72%"
"2020년 10월 27일","41,750","42,150","42,150","41,200","0.16K","-1.53%"
"2020년 10월 26일","42,400","42,200","42,950","41,600","0.02K","0.36%"
"2020년 10월 25일","42,250","42,250","42,250","42,250","-","0.00%"
"2020년 10월 23일","42,250","42,500","43,000","41,900","2.91M","0.84%"
"2020년 10월 22일","41,900","41,300","42,300","40,700","1.07K","1.09%"
"2020년 10월 21일","41,450","40,700","41,700","40,450","0.72K","1.72%"
"2020년 10월 20일","40,750","40,500","41,100","40,100","0.00K","0.12%"
"2020년 10월 19일","40,700","39,900","41,450","39,700","0.78K","3.30%"
"2020년 10월 16일","39,400","39,500","40,000","39,200","1.46M","0.90%"
"2020년 10월 15일","39,050","38,600","39,250","38,600","0.03K","0.77%"
"2020년 10월 14일","38,750","40,200","40,200","38,750","1.43K","-3.61%"
"2020년 10월 13일","40,200","40,850","41,150","40,050","0.21K","-1.35%"
"2020년 10월 12일","40,750","40,000","40,800","39,800","0.01K","2.26%"
"2020년 10월 11일","39,850","39,850","39,850","39,850","-","0.00%"
"2020년 10월 08일","39,850","40,000","40,200","39,400","1.53M","-0.13%"
"2020년 10월 07일","39,900","39,000","39,900","38,450","0.28K","2.31%"
"2020년 10월 06일","39,000","39,450","39,950","38,650","0.05K","-0.13%"
"2020년 10월 05일","39,050","37,200","39,450","37,200","2.80M","3.99%"
"2020년 10월 04일","37,550","37,550","37,550","37,550","-","0.00%"
"2020년 09월 29일","37,550","38,700","38,750","37,550","1.79M","-1.70%"
"2020년 09월 28일","38,200","38,300","38,450","38,000","984.97K","0.00%"
"2020년 09월 25일","38,200","37,500","38,350","37,050","1.91M","2.69%"
"2020년 09월 24일","37,200","37,300","37,600","36,900","1.63M","-0.93%"
"2020년 09월 23일","37,550","37,300","38,050","37,250","0.29K","0.27%"
"2020년 09월 22일","37,450","37,400","37,750","37,200","1.54M","-0.53%"
"2020년 09월 21일","37,650","37,700","38,050","37,550","0.07K","-0.26%"
"2020년 09월 20일","37,750","37,750","37,750","37,750","-","0.00%"
"2020년 09월 18일","37,750","38,000","38,000","37,550","1.15M","-0.53%"
"2020년 09월 17일","37,950","38,000","38,150","37,500","1.90K","0.13%"
"2020년 09월 16일","37,900","37,950","38,200","37,850","0.44K","-1.17%"
"2020년 09월 15일","38,350","37,850","38,650","37,750","3.17K","0.13%"
"2020년 09월 14일","38,300","37,700","38,300","37,300","1.79M","3.10%"
"2020년 09월 13일","37,150","37,150","37,150","37,150","-","0.00%"
