Date,Close
2009-06-18,2.838
2009-06-19,2.804
2009-06-22,2.709
2009-06-23,2.685
2009-06-24,2.701
2009-06-25,2.598
2009-06-26,2.533
2009-06-29,2.528
2009-06-30,2.558
2009-07-01,2.518
2009-07-02,2.424
2009-07-06,2.394
2009-07-07,2.357
2009-07-08,2.217
2009-07-09,2.321
2009-07-10,2.211
2009-07-13,2.255
2009-07-14,2.331
2009-07-15,2.497
2009-07-16,2.445
2009-07-17,2.513
2009-07-20,2.433
2009-07-21,2.332
2009-07-22,2.404
2009-07-23,2.576
2009-07-24,2.547
2009-07-27,2.574
2009-07-28,2.599
2009-07-29,2.645
2009-07-30,2.67
2009-07-31,2.533
2009-08-03,2.669
2009-08-04,2.687
2009-08-05,2.735
2009-08-06,2.711
2009-08-07,2.825
2009-08-10,2.731
2009-08-11,2.689
2009-08-12,2.659
2009-08-13,2.557
2009-08-14,2.498
2009-08-17,2.419
2009-08-18,2.471
2009-08-19,2.418
2009-08-20,2.414
2009-08-21,2.55
2009-08-24,2.488
2009-08-25,2.457
2009-08-26,2.447
2009-08-27,2.485
2009-08-28,2.457
2009-08-31,2.39
2009-09-01,2.328
2009-09-02,2.26
2009-09-03,2.28
2009-09-04,2.355
2009-09-08,2.372
2009-09-09,2.375
2009-09-10,2.281
2009-09-11,2.288
2009-09-14,2.35
2009-09-15,2.392
2009-09-16,2.437
2009-09-17,2.378
2009-09-18,2.461
2009-09-21,2.461
2009-09-22,2.425
2009-09-23,2.375
2009-09-24,2.377
2009-09-25,2.372
2009-09-28,2.345
2009-09-29,2.342
2009-09-30,2.318
2009-10-01,2.194
2009-10-02,2.205
2009-10-05,2.215
2009-10-06,2.237
2009-10-07,2.162
2009-10-08,2.225
2009-10-09,2.346
2009-10-12,2.348
2009-10-13,2.261
2009-10-14,2.341
2009-10-15,2.387
2009-10-16,2.356
2009-10-19,2.346
2009-10-20,2.282
2009-10-21,2.365
2009-10-22,2.36
2009-10-23,2.427
2009-10-26,2.495
2009-10-27,2.383
2009-10-28,2.334
2009-10-29,2.445
2009-10-30,2.322
2009-11-02,2.332
2009-11-03,2.358
2009-11-04,2.378
2009-11-05,2.343
2009-11-06,2.303
2009-11-09,2.296
2009-11-10,2.296
2009-11-11,2.29
